"time_date","temperature","weather_con","comfort_feelslike","humidity","forecast","wind","humidity.1","location","visibility","pressure","dew_point"
2021-11-27 08:39:09, "24 °C", "Light rain. More clouds than sun.", "Feels Like: 23 °CForecast: 29 / 26 °CWind: 6 km/h <U+2191> from Northeast", "100%", "Forecast: 29 / 26 °C", "Feels Like: 23 °CForecast: 29 / 26 °CWind: 6 km/h <U+2191> from Northeast", "100%", "Madras / Minambakkam", "2 km", "1012 mbar", "24 °C"
2021-11-27 09:01:03, "24 °C", "Rain. More clouds than sun.", "Feels Like: 23 °CForecast: 29 / 26 °CWind: 6 km/h <U+2191> from Northeast", "100%", "Forecast: 29 / 26 °C", "Feels Like: 23 °CForecast: 29 / 26 °CWind: 6 km/h <U+2191> from Northeast", "100%", "Madras / Minambakkam", "2 km", "1012 mbar", "24 °C"
2021-11-27 10:01:01, "25 °C", "Thunderstorms. More clouds than sun.", "Feels Like: 25 °CForecast: 29 / 26 °CWind: 9 km/h <U+2191> from Northeast", "100%", "Forecast: 29 / 26 °C", "Feels Like: 25 °CForecast: 29 / 26 °CWind: 9 km/h <U+2191> from Northeast", "100%", "Madras / Minambakkam", "2 km", "1011 mbar", "25 °C"
2021-11-27 11:01:02, "26 °C", "Fog.", "Feels Like: 28 °CForecast: 29 / 27 °CWind: 9 km/h <U+2191> from Northeast", "100%", "Forecast: 29 / 27 °C", "Feels Like: 28 °CForecast: 29 / 27 °CWind: 9 km/h <U+2191> from Northeast", "100%", "Madras / Minambakkam", "2 km", "1011 mbar", "26 °C"
2021-11-27 12:01:02, "27 °C", "Drizzle. More clouds than sun.", "Feels Like: 31 °CForecast: 29 / 27 °CWind: 9 km/h <U+2191> from Northeast", "89%", "Forecast: 29 / 27 °C", "Feels Like: 31 °CForecast: 29 / 27 °CWind: 9 km/h <U+2191> from Northeast", "89%", "Madras / Minambakkam", "3 km", "1010 mbar", "25 °C"
2021-11-27 13:01:07, "28 °C", "Fog.", "Feels Like: 34 °CForecast: 29 / 27 °CWind: 15 km/h <U+2191> from Northeast", "89%", "Forecast: 29 / 27 °C", "Feels Like: 34 °CForecast: 29 / 27 °CWind: 15 km/h <U+2191> from Northeast", "89%", "Madras / Minambakkam", "4 km", "1009 mbar", "26 °C"
2021-11-27 14:01:02, "29 °C", "Fog.", "Feels Like: 36 °CForecast: 29 / 27 °CWind: 9 km/h <U+2191> from Northeast", "84%", "Forecast: 29 / 27 °C", "Feels Like: 36 °CForecast: 29 / 27 °CWind: 9 km/h <U+2191> from Northeast", "84%", "Madras / Minambakkam", "4 km", "1008 mbar", "26 °C"
2021-11-27 15:01:01, "29 °C", "Fog.", "Feels Like: 35 °CForecast: 29 / 27 °CWind: 19 km/h <U+2191> from East", "79%", "Forecast: 29 / 27 °C", "Feels Like: 35 °CForecast: 29 / 27 °CWind: 19 km/h <U+2191> from East", "79%", "Madras / Minambakkam", "5 km", "1007 mbar", "25 °C"
2021-11-27 18:02:19, "27 °C", "Drizzle. Broken clouds.", "Feels Like: 31 °CForecast: 29 / 27 °CWind: 4 km/h <U+2191> from North", "89%", "Forecast: 29 / 27 °C", "Feels Like: 31 °CForecast: 29 / 27 °CWind: 4 km/h <U+2191> from North", "89%", "Madras / Minambakkam", "4 km", "1009 mbar", "25 °C"
2021-11-27 19:01:09, "27 °C", "Light rain. Broken clouds.", "Feels Like: 31 °CForecast: 29 / 27 °CWind: 4 km/h <U+2191> from North", "94%", "Forecast: 29 / 27 °C", "Feels Like: 31 °CForecast: 29 / 27 °CWind: 4 km/h <U+2191> from North", "94%", "Madras / Minambakkam", "4 km", "1009 mbar", "26 °C"
2021-11-27 20:01:02, "26 °C", "Thunderstorms. Partly cloudy.", "Feels Like: 28 °CForecast: 29 / 27 °CWind: 4 km/h <U+2191> from North", "100%", "Forecast: 29 / 27 °C", "Feels Like: 28 °CForecast: 29 / 27 °CWind: 4 km/h <U+2191> from North", "100%", "Madras / Minambakkam", "4 km", "1011 mbar", "26 °C"
2021-11-27 21:01:03, "26 °C", "Thunderstorms. Partly cloudy.", "Feels Like: 28 °CForecast: 29 / 27 °CWind: No wind", "94%", "Forecast: 29 / 27 °C", "Feels Like: 28 °CForecast: 29 / 27 °CWind: No wind", "94%", "Madras / Minambakkam", "3 km", "1011 mbar", "25 °C"
2021-11-27 22:01:02, "26 °C", "Drizzle. Fog.", "Feels Like: 28 °CForecast: 29 / 27 °CWind: 4 km/h <U+2191> from North", "94%", "Forecast: 29 / 27 °C", "Feels Like: 28 °CForecast: 29 / 27 °CWind: 4 km/h <U+2191> from North", "94%", "Madras / Minambakkam", "3 km", "1011 mbar", "25 °C"
2021-11-28 09:06:10, "26 °C", "Drizzle. Fog.", "Feels Like: 28 °CForecast: 29 / 26 °CWind: 7 km/h <U+2191> from Northwest", "100%", "Forecast: 29 / 26 °C", "Feels Like: 28 °CForecast: 29 / 26 °CWind: 7 km/h <U+2191> from Northwest", "100%", "Madras / Minambakkam", "2 km", "1012 mbar", "26 °C"
2021-11-28 10:01:05, "28 °C", "Fog.", "Feels Like: 34 °CForecast: 29 / 26 °CWind: 11 km/h <U+2191> from East", "89%", "Forecast: 29 / 26 °C", "Feels Like: 34 °CForecast: 29 / 26 °CWind: 11 km/h <U+2191> from East", "89%", "Madras / Minambakkam", "5 km", "1012 mbar", "26 °C"
2021-11-28 11:01:02, "29 °C", "Fog.", "Feels Like: 36 °CForecast: 30 / 26 °CWind: 17 km/h <U+2191> from East", "84%", "Forecast: 30 / 26 °C", "Feels Like: 36 °CForecast: 30 / 26 °CWind: 17 km/h <U+2191> from East", "84%", "Madras / Minambakkam", "5 km", "1012 mbar", "26 °C"
2021-11-28 12:01:02, "29 °C", "Fog.", "Feels Like: 36 °CForecast: 30 / 26 °CWind: 19 km/h <U+2191> from Southeast", "84%", "Forecast: 30 / 26 °C", "Feels Like: 36 °CForecast: 30 / 26 °CWind: 19 km/h <U+2191> from Southeast", "84%", "Madras / Minambakkam", "5 km", "1011 mbar", "26 °C"
2021-11-28 13:01:04, "29 °C", "Fog.", "Feels Like: 36 °CForecast: 30 / 26 °CWind: 15 km/h <U+2191> from East", "84%", "Forecast: 30 / 26 °C", "Feels Like: 36 °CForecast: 30 / 26 °CWind: 15 km/h <U+2191> from East", "84%", "Madras / Minambakkam", "4 km", "1011 mbar", "26 °C"
